0					
115	12.22062	8.24074	31.99377	1	591
116	11.01193	8.148149	32.03102	1	260
117	9.919078	8.055555	32.06826	1	30
118	8.960773	7.962962	32.10551	1	0
119	8.153426	7.870371	32.14275	1	0
120	7.510859	7.777778	32.18	1	0
121	7.044074	7.685184	32.21725	1	0
122	6.761061	7.592593	32.25449	1	0
123	6.666669	7.5	32.29174	1	0
124	7.899804	7.407407	32.32898	1	0
125	9.111826	7.314816	32.36623	1	0
126	10.28199	7.222222	32.40347	1	0
127	11.39025	7.129629	32.44072	1	67
128	12.41764	7.037038	32.47796	1	252
129	13.34656	6.944445	32.51521	1	340
130	14.16112	6.851851	32.55246	1	311
131	14.84737	6.75926	32.5897	1	390
132	15.39355	6.666667	32.62695	1	284
133	15.79031	6.712962	32.5897	1	145
134	16.03088	6.75926	32.55246	1	823
135	16.11111	6.805555	32.51521	1	886
136	15.02305	6.851851	32.47796	1	335
137	13.95362	6.898149	32.44072	1	118
138	12.92112	6.944445	32.40347	1	133
139	11.94324	6.99074	32.36623	1	94
140	11.03672	7.037038	32.32898	1	100
141	10.21709	7.083333	32.29174	1	9
142	9.498359	7.129629	32.25449	1	0
143	8.892848	7.175927	32.21725	1	0
144	8.410922	7.222222	32.18	1	0
145	8.060833	7.268518	32.14275	1	0
146	7.848574	7.314816	32.10551	1	0
147	7.777778	7.361111	32.06826	1	0
148	8.793301	7.407407	32.03102	1	0
149	9.79144	7.453704	31.99377	1	0
150	10.7551	7.5	31.95653	1	2
151	11.66779	7.546296	31.91928	1	59
152	12.51387	7.592593	31.88204	1	178
153	13.27887	7.638889	31.84479	1	303
154	13.94968	7.685184	31.80754	1	365
155	14.51482	7.731482	31.7703	1	494
156	14.96462	7.777778	31.73306	1	503
157	15.29137	7.800927	31.73306	0.9958333	578
158	15.48948	7.824073	31.73306	0.9916667	1020
159	15.55556	7.847222	31.73306	0.9875	857
160	14.61257	7.870371	31.73306	0.9833333	832
161	13.68573	7.893518	31.73306	0.9791667	603
162	12.7909	7.916667	31.73306	0.975	761
163	11.9434	7.939816	31.73306	0.9708333	349
164	11.15775	7.962962	31.73306	0.9666666	85
165	10.4474	7.986111	31.73306	0.9625	8
166	9.824503	8.00926	31.73306	0.9583333	0
167	9.299727	8.032407	31.73306	0.9541667	0
168	8.882058	8.055555	31.73306	0.95	0
169	8.578648	8.078705	31.73306	0.9458333	0
170	8.394691	8.101851	31.73306	0.9416667	0
171	8.333333	8.125	31.73306	0.9375	0
172	9.421395	8.148149	31.73306	0.9333333	0
173	10.49083	8.171295	31.73306	0.9291667	0
174	11.52332	8.194445	31.73306	0.925	1
175	12.5012	8.217593	31.73306	0.9208333	46
176	13.40772	8.24074	31.73306	0.9166666	107
177	14.22736	8.263889	31.73306	0.9125	86
178	14.94609	8.287038	31.73306	0.9083333	294
179	15.5516	8.310184	31.73306	0.9041666	519
180	16.03352	8.333333	31.73306	0.9	442
181	16.38361	8.356483	31.69581	0.9041666	1521
182	16.59587	8.379629	31.65857	0.9083333	1211
183	16.66667	8.402778	31.62132	0.9125	1352
184	15.65114	8.425926	31.58407	0.9166666	404
185	14.653	8.449074	31.54683	0.9208333	406
186	13.68934	8.472222	31.50958	0.925	502
187	12.77666	8.495371	31.47234	0.9291667	514
