SCAT2D
BEGSET
NAME  "planar"
ID 17255
DELEV 0.0
IXY   5000
    4775      48.0000     190.0000
    4774      46.0000     190.0000
    4773      44.0000     190.0000
    4772      42.0000     190.0000
    4771      40.0000     190.0000
    4770      38.0000     190.0000
    4769      36.0000     190.0000
    4768      34.0000     190.0000
    4767      32.0000     190.0000
    4766      30.0000     190.0000
    4765      28.0000     190.0000
    4764      26.0000     190.0000
    4763      24.0000     190.0000
    4762      22.0000     190.0000
    4761      20.0000     190.0000
    4760      18.0000     190.0000
    4759      16.0000     190.0000
    4758      14.0000     190.0000
    4757      12.0000     190.0000
    4756      10.0000     190.0000
    4755       8.0000     190.0000
    4754       6.0000     190.0000
    4753       4.0000     190.0000
    4752       2.0000     190.0000
    4751       0.5000     190.0000
    4750      98.0000     188.0000
    4749      96.0000     188.0000
    4748      94.0000     188.0000
    4747      92.0000     188.0000
    4746      90.0000     188.0000
    4745      88.0000     188.0000
    4744      86.0000     188.0000
    4743      84.0000     188.0000
    4742      82.0000     188.0000
    4741      80.0000     188.0000
    4740      78.0000     188.0000
    4739      76.0000     188.0000
    4738      74.0000     188.0000
    4737      72.0000     188.0000
    4736      70.0000     188.0000
    4735      68.0000     188.0000
    4734      66.0000     188.0000
    4733      64.0000     188.0000
    4732      62.0000     188.0000
    4731      60.0000     188.0000
    4730      58.0000     188.0000
    4729      56.0000     188.0000
    4728      54.0000     188.0000
    4727      52.0000     188.0000
    4726      50.0000     188.0000
    4725      48.0000     188.0000
    4724      46.0000     188.0000
    4723      44.0000     188.0000
    4722      42.0000     188.0000
    4721      40.0000     188.0000
    4720      38.0000     188.0000
    4719      36.0000     188.0000
    4718      34.0000     188.0000
    4717      32.0000     188.0000
    4716      30.0000     188.0000
    4715      28.0000     188.0000
    4714      26.0000     188.0000
    4713      24.0000     188.0000
    4712      22.0000     188.0000
    4711      20.0000     188.0000
    4710      18.0000     188.0000
    4709      16.0000     188.0000
    4708      14.0000     188.0000
    4707      12.0000     188.0000
    4706      10.0000     188.0000
    4705       8.0000     188.0000
    4704       6.0000     188.0000
    4703       4.0000     188.0000
    4702       2.0000     188.0000
    4701       0.5000     188.0000
    4700      98.0000     186.0000
    4699      96.0000     186.0000
    4698      94.0000     186.0000
    4697      92.0000     186.0000
    4696      90.0000     186.0000
    4695      88.0000     186.0000
    4694      86.0000     186.0000
    4693      84.0000     186.0000
    4692      82.0000     186.0000
    4691      80.0000     186.0000
    4690      78.0000     186.0000
    4689      76.0000     186.0000
    4688      74.0000     186.0000
    4687      72.0000     186.0000
    4686      70.0000     186.0000
    4685      68.0000     186.0000
    4684      66.0000     186.0000
    4683      64.0000     186.0000
    4682      62.0000     186.0000
    4681      60.0000     186.0000
    4680      58.0000     186.0000
    4679      56.0000     186.0000
    4678      54.0000     186.0000
    4677      52.0000     186.0000
    4676      50.0000     186.0000
    4675      48.0000     186.0000
    4674      46.0000     186.0000
    4673      44.0000     186.0000
    4672      42.0000     186.0000
    4671      40.0000     186.0000
    4670      38.0000     186.0000
    4669      36.0000     186.0000
    4668      34.0000     186.0000
    4667      32.0000     186.0000
    4666      30.0000     186.0000
    4665      28.0000     186.0000
    4664      26.0000     186.0000
    4663      24.0000     186.0000
    4662      22.0000     186.0000
    4661      20.0000     186.0000
    4660      18.0000     186.0000
    4659      16.0000     186.0000
    4658      14.0000     186.0000
    4657      12.0000     186.0000
    4656      10.0000     186.0000
    4655       8.0000     186.0000
    4654       6.0000     186.0000
    4653       4.0000     186.0000
    4652       2.0000     186.0000
    4651       0.5000     186.0000
    4650      98.0000     184.0000
    4649      96.0000     184.0000
    4648      94.0000     184.0000
    4647      92.0000     184.0000
    4646      90.0000     184.0000
    4645      88.0000     184.0000
    4644      86.0000     184.0000
    4643      84.0000     184.0000
    4642      82.0000     184.0000
    4641      80.0000     184.0000
    4640      78.0000     184.0000
    4639      76.0000     184.0000
    4638      74.0000     184.0000
    4637      72.0000     184.0000
    4636      70.0000     184.0000
    4635      68.0000     184.0000
    4634      66.0000     184.0000
    4633      64.0000     184.0000
    4632      62.0000     184.0000
    4631      60.0000     184.0000
    4630      58.0000     184.0000
    4629      56.0000     184.0000
    4628      54.0000     184.0000
    4627      52.0000     184.0000
    4626      50.0000     184.0000
    4625      48.0000     184.0000
    4624      46.0000     184.0000
    4623      44.0000     184.0000
    4622      42.0000     184.0000
    4621      40.0000     184.0000
    4620      38.0000     184.0000
    4619      36.0000     184.0000
    4618      34.0000     184.0000
    4617      32.0000     184.0000
    4616      30.0000     184.0000
